"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist","Community Leaders - Results of the quick search items","ERROR","2018-06-04T11:43:10.675-04:00[America/New_York]","0.0","33.95"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-06-04T11:58:38.375-04:00[America/New_York]","0.0","48.42"
"Regression checklist spanish","(Spanish) Community Leaders - Type keyword into search bar","ERROR","2018-06-04T12:02:31.357-04:00[America/New_York]","0.0","12.62"
