"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","ERROR","2018-04-30T13:10:01.848-04:00[America/New_York]","0.0","43.44"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","ERROR","2018-04-30T13:10:45.293-04:00[America/New_York]","0.0","20.23"
"Regression checklist spanish","(Spanish) Address Look-Up - Declared disasters","ERROR","2018-04-30T13:11:05.605-04:00[America/New_York]","0.0","15.7"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","FAILURE","2018-04-30T13:12:10.971-04:00[America/New_York]","0.0","39.44"
